,count,Random,MostPop,UserKNN,ItemKNN,UserKNN with means,BPR,MF,PMF,NMF,WMF,HPF,NeuMF,VAECF
968,0.21033333333333334,1,62,22,18,19,47,16,13,30,19,39,55,37
707,0.21,5,55,4,14,3,72,21,3,15,19,27,38,48
1040,0.20966666666666667,4,52,44,18,37,90,14,36,28,57,47,81,54
671,0.20966666666666667,1,57,41,31,27,57,18,19,23,38,47,29,50
109,0.20866666666666667,2,47,10,24,15,47,23,14,11,69,36,70,45
198,0.20833333333333334,1,57,49,22,31,45,10,18,27,8,54,72,57
31,0.20566666666666666,1,58,21,25,20,64,18,22,29,37,52,51,60
3203,0.20533333333333334,1,49,47,26,48,40,19,27,46,13,53,32,31
29,0.20433333333333334,0,65,25,28,24,66,26,19,32,27,32,56,57
1614,0.204,4,55,2,18,1,63,16,3,7,52,31,10,32
233,0.204,1,48,32,20,28,43,22,14,27,19,27,26,21
587,0.20166666666666666,2,62,23,26,21,58,22,24,29,31,43,61,44
2359,0.20166666666666666,1,62,24,32,14,48,28,14,21,10,34,32,22
616,0.20066666666666666,4,55,10,14,6,54,14,8,26,10,29,62,31
1249,0.198,1,61,4,35,7,69,26,5,18,32,32,61,50
958,0.198,1,72,58,29,54,73,23,64,46,39,59,64,58
996,0.197,2,47,111,19,103,74,12,119,51,52,54,63,53
590,0.19666666666666666,1,68,46,27,50,69,31,95,37,25,61,64,41
994,0.19633333333333333,2,44,13,12,20,40,14,16,15,51,28,39,36
5,0.19566666666666666,2,59,26,25,29,65,27,30,25,34,47,64,58
167,0.195,1,62,45,13,38,64,16,80,35,29,51,36,44
1143,0.19466666666666665,1,53,3,23,3,42,14,2,4,46,16,22,28
208,0.19433333333333333,4,65,34,20,27,72,21,31,36,34,55,57,53
1624,0.19233333333333333,5,38,42,18,49,47,10,51,39,21,47,66,38
1072,0.19133333333333333,0,56,44,21,53,68,20,51,34,36,54,63,52
1633,0.19066666666666668,1,46,58,17,51,55,17,69,32,8,45,55,38
2368,0.19033333333333333,1,46,38,23,30,27,16,19,25,12,21,9,12
239,0.19,2,62,58,22,52,82,19,50,42,51,58,82,58
667,0.18966666666666668,2,48,19,21,28,41,25,23,21,10,35,50,44
629,0.18933333333333333,0,43,5,22,5,32,21,3,8,27,17,41,38
1665,0.18866666666666668,3,37,4,21,2,28,16,3,3,8,26,29,32
1832,0.188,4,44,6,20,3,36,26,0,11,21,22,56,33
1650,0.187,1,32,3,12,1,63,15,13,10,25,27,51,40
630,0.187,0,35,2,18,4,23,14,1,4,6,5,20,24
960,0.18633333333333332,2,52,88,18,61,63,23,61,49,27,48,53,49
2501,0.18566666666666667,4,31,0,16,1,43,8,0,1,16,17,36,33
2423,0.18533333333333332,4,38,17,23,10,38,16,6,16,14,22,44,30
1860,0.18533333333333332,6,38,20,14,10,38,14,3,9,19,21,17,30
1839,0.185,2,42,65,12,37,45,11,41,31,14,39,67,51
46,0.185,2,39,5,13,6,58,17,7,12,30,38,52,49
265,0.18433333333333332,2,37,0,15,0,35,16,0,2,20,12,13,16
936,0.18433333333333332,3,64,43,28,36,78,18,77,35,37,63,73,56
10,0.18433333333333332,2,50,16,27,14,62,20,11,21,36,37,45,48
599,0.184,5,41,2,24,1,31,15,0,1,63,15,16,22
938,0.184,2,63,4,22,8,66,19,3,13,32,40,62,49
723,0.18366666666666667,3,39,5,20,4,39,17,1,9,16,13,49,42
991,0.18366666666666667,1,35,15,18,13,38,15,8,11,43,12,19,32
33,0.18266666666666667,0,51,53,26,52,55,14,80,33,30,58,56,40
1241,0.18166666666666667,1,59,56,37,51,73,23,57,41,29,52,48,60
2,0.18133333333333335,2,39,42,17,29,52,19,18,28,26,39,44,46
28,0.18133333333333335,2,44,15,19,13,50,24,10,19,36,31,39,48
1268,0.18,2,38,1,14,6,40,24,2,11,30,27,41,44
683,0.17933333333333334,2,31,3,21,3,38,19,7,6,4,20,37,23
180,0.17933333333333334,3,43,12,21,14,52,18,15,18,45,41,67,57
962,0.17933333333333334,2,37,6,8,6,28,17,4,8,19,29,42,38
702,0.179,0,11,2,13,1,10,10,1,1,10,8,5,20
3237,0.179,0,22,33,17,24,22,15,43,34,10,37,11,31
1083,0.179,4,33,9,17,9,39,17,13,16,37,40,40,54
1666,0.17733333333333334,1,33,7,12,4,55,13,10,6,36,31,75,47
598,0.17733333333333334,1,27,10,11,9,24,18,8,8,29,22,45,27
105,0.17666666666666667,0,23,3,15,4,28,9,3,5,31,23,46,45
