,count,Random,MostPop,UserKNN,ItemKNN,UserKNN with means,BPR,MF,PMF,NMF,WMF,HPF,NeuMF,VAECF
368,0.04288079470198675,9,11,11,13,11,11,14,15,11,10,14,13,16
1025,0.04288079470198675,11,0,0,2,0,0,3,1,0,0,2,0,2
901,0.04288079470198675,13,9,8,10,9,8,10,9,9,8,8,8,7
689,0.04271523178807947,13,9,10,12,13,9,15,16,11,9,9,9,9
2264,0.04271523178807947,15,0,10,3,8,0,4,3,10,0,1,0,1
1062,0.04271523178807947,9,1,7,5,7,1,7,7,6,3,3,1,2
674,0.042549668874172185,12,4,6,10,8,4,13,12,8,5,6,4,9
1612,0.042549668874172185,15,6,10,11,16,6,19,18,21,6,12,7,7
1339,0.042549668874172185,9,1,1,4,2,1,3,3,2,1,2,2,2
1999,0.0423841059602649,11,2,9,5,5,2,10,5,3,2,2,2,2
1737,0.0423841059602649,16,4,4,7,4,4,6,6,5,3,3,4,6
1839,0.0423841059602649,10,1,1,0,1,1,2,0,0,1,0,0,0
2099,0.04205298013245033,15,6,6,10,6,6,10,6,6,6,6,6,7
986,0.04205298013245033,6,3,32,15,35,3,16,21,31,5,13,4,5
2633,0.04205298013245033,6,3,4,5,3,3,7,8,3,3,3,3,3
2417,0.04188741721854305,12,2,11,9,14,2,8,6,8,3,4,2,3
1639,0.04188741721854305,3,5,27,10,25,5,18,19,21,6,10,6,9
1574,0.04188741721854305,10,3,1,5,2,2,4,3,3,1,2,2,1
1174,0.041721854304635764,7,2,3,6,3,2,7,3,2,2,2,2,2
2033,0.041721854304635764,7,4,32,11,37,4,24,30,41,8,6,6,11
1663,0.041721854304635764,9,3,25,9,15,5,16,7,19,5,6,5,5
875,0.041721854304635764,7,8,6,7,6,8,12,6,6,6,8,8,11
1481,0.04155629139072848,10,0,1,0,1,0,2,0,0,0,1,0,0
1817,0.04155629139072848,12,2,2,4,2,2,7,3,2,2,6,2,10
569,0.04155629139072848,14,6,5,4,5,6,4,3,4,4,4,6,4
1635,0.04155629139072848,13,5,22,21,35,5,19,25,23,6,12,10,15
