movie,count,Random,MostPop,UserKNN,ItemKNN,UserKNN with means,BPR,MF,PMF,NMF,WMF,HPF,NeuMF,VAECF
737,0.19172185430463576,8,0,0,3,0,0,0,0,0,0,3,3,28
153,0.1913907284768212,12,0,0,11,0,0,117,156,0,0,46,205,54
505,0.19072847682119207,11,0,0,26,3,0,112,771,2,0,1,0,28
738,0.1900662251655629,9,0,0,4,0,1,0,0,0,0,37,1,12
147,0.1892384105960265,13,0,0,26,0,0,2,0,0,0,0,0,4
242,0.18824503311258278,5,0,0,24,2,0,69,51,0,0,8,0,70
316,0.1880794701986755,12,0,0,18,0,0,0,0,0,0,0,1,3
117,0.1879139072847682,9,0,0,6,0,5,1,2,0,0,146,57,134
139,0.1869205298013245,10,0,0,17,0,0,13,33,0,0,3,0,23
509,0.18675496688741722,10,0,0,17,0,0,33,13,0,0,173,0,50
57,0.18658940397350993,15,0,0,33,0,0,0,0,0,0,1,0,53
205,0.18658940397350993,3,0,0,5,0,0,19,0,0,0,79,0,26
646,0.18642384105960264,11,0,0,4,0,0,10,2,0,0,13,1,12
567,0.18609271523178808,8,0,0,7,0,0,10,4,0,0,22,35,13
390,0.18559602649006623,10,0,0,13,0,0,25,21,0,0,191,3,48
537,0.18543046357615894,9,0,0,14,0,0,0,0,0,0,29,0,5
203,0.18526490066225165,7,0,0,25,0,0,48,0,0,0,0,0,37
797,0.18509933774834436,13,0,0,45,0,0,9,79,0,0,35,0,0
661,0.1847682119205298,6,0,0,65,2,22,75,613,49,165,301,39,147
605,0.1847682119205298,10,0,0,1,0,29,1,0,0,0,49,185,60
524,0.18427152317880793,13,0,0,16,0,1,73,57,0,0,4,64,212
1109,0.18410596026490067,7,0,0,13,0,0,5,0,1,0,0,0,0
133,0.1837748344370861,10,0,0,2,0,67,13,66,0,0,0,204,63
126,0.1837748344370861,12,0,0,2,0,11,3,1,0,0,0,0,7
89,0.18195364238410597,16,0,0,12,0,0,0,0,0,0,45,13,40
633,0.18195364238410597,8,0,0,14,0,0,13,0,0,0,0,0,37
343,0.18162251655629139,8,0,0,53,0,0,19,31,0,0,40,0,23
1298,0.18129139072847683,10,0,0,22,0,0,8,0,0,0,2,0,46
896,0.1806291390728477,9,0,0,13,0,0,0,0,0,0,0,0,0
891,0.1802980132450331,11,0,0,2,0,0,8,0,0,0,9,0,2
1115,0.17996688741721853,13,0,0,25,1,0,19,43,0,0,141,0,28
534,0.17980132450331127,8,0,0,6,0,0,0,0,0,0,67,2,0
792,0.17913907284768213,10,0,0,7,0,0,0,0,0,0,14,0,83
322,0.1783112582781457,12,0,0,8,0,0,0,0,0,0,7,0,0
895,0.1781456953642384,16,0,0,7,0,0,1,3,0,0,47,135,14
1075,0.17781456953642383,11,0,0,1,0,0,3,1,0,0,0,56,3
43,0.17748344370860927,17,0,0,15,0,0,60,16,2,0,8,3,1
1005,0.17731788079470198,12,0,0,4,0,0,1,0,0,0,24,0,122
211,0.17649006622516555,7,0,0,7,0,0,7,0,0,0,9,85,70
263,0.17649006622516555,9,0,0,7,0,0,0,1,0,0,6,1,58
59,0.17566225165562913,11,0,0,12,0,0,0,29,0,0,0,0,5
10,0.17549668874172186,4,0,0,10,0,0,40,49,0,0,266,0,28
150,0.17533112582781457,8,0,0,11,0,0,0,0,0,0,73,0,19
719,0.175,8,0,0,28,0,25,18,13,0,0,67,8,179
90,0.1741721854304636,13,0,0,5,0,0,0,0,0,0,1,0,22
629,0.173841059602649,9,0,0,53,0,0,24,610,2,147,310,7,55
770,0.17367549668874172,11,0,0,18,0,0,10,146,7,0,2,0,55
396,0.17317880794701987,12,0,0,5,0,0,9,49,0,0,193,4,114
428,0.17317880794701987,10,0,0,5,0,0,0,0,0,0,9,0,53
558,0.17301324503311258,6,0,0,2,0,0,0,0,0,0,0,0,27
338,0.17268211920529802,3,0,3,30,2,25,24,64,15,41,321,37,157
207,0.17135761589403972,6,0,0,13,0,0,6,11,0,0,38,0,140
664,0.17119205298013246,8,0,0,13,0,0,19,6,0,0,2,32,0
1256,0.17102649006622517,12,0,0,4,0,0,2,1,0,0,111,0,82
647,0.17069536423841059,11,0,0,1,0,1,0,0,0,0,0,0,36
326,0.16903973509933776,5,0,0,16,0,0,26,1,0,0,0,0,0
533,0.16771523178807948,12,0,0,1,0,0,5,0,0,0,164,0,0
713,0.1673841059602649,10,0,0,5,0,0,0,0,0,0,0,0,72
45,0.1673841059602649,6,0,0,16,0,0,16,98,0,0,274,6,184
758,0.1672185430463576,13,0,0,15,0,0,0,0,0,0,4,3,0
386,0.1672185430463576,6,0,0,12,0,0,12,62,0,0,1,0,2
202,0.16672185430463576,9,0,0,5,0,4,3,13,0,0,11,0,76
676,0.16655629139072847,11,0,0,6,0,0,0,0,0,0,4,0,26
438,0.16639072847682118,6,0,0,21,0,0,3,1,0,0,0,0,7
546,0.16572847682119204,7,0,0,17,0,0,10,12,0,0,1,2,2
119,0.16572847682119204,14,0,0,5,0,1,12,5,0,0,0,24,0
194,0.1650662251655629,7,0,0,45,0,0,26,0,0,0,0,0,0
251,0.16490066225165562,5,0,0,7,0,0,0,0,0,0,1,0,0
331,0.16490066225165562,8,0,0,11,0,0,13,7,0,0,3,0,33
831,0.16456953642384106,8,0,0,9,0,0,16,2,0,0,393,2,124
565,0.16390728476821192,13,0,0,14,0,0,0,0,0,0,3,0,10
619,0.16390728476821192,11,0,0,5,0,0,0,2,0,0,0,2,0
1528,0.16374172185430463,10,0,0,13,0,0,41,9,0,0,57,0,31
1200,0.16374172185430463,11,0,0,2,0,0,69,43,0,0,15,0,19
120,0.16357615894039734,10,0,0,4,0,0,0,0,0,0,91,0,36
729,0.1632450331125828,10,0,0,6,0,0,3,60,0,0,176,40,177
166,0.16274834437086091,13,0,0,4,0,0,1,6,0,0,0,0,2
392,0.16258278145695365,7,0,0,4,0,0,20,7,0,0,16,0,6
504,0.16225165562913907,9,0,0,11,0,0,54,6,0,0,0,0,38
275,0.16192052980132451,14,0,0,12,0,0,1,0,0,0,81,4,34
110,0.16142384105960264,8,0,0,7,0,0,14,0,0,0,0,0,0
433,0.1609271523178808,5,0,0,5,0,0,1,0,0,0,1,0,7
767,0.1605960264900662,9,0,0,6,0,0,0,1,0,0,4,238,22
198,0.16009933774834437,7,0,0,19,0,0,67,136,0,0,11,0,10
470,0.15993377483443708,16,0,0,11,0,0,40,8,0,0,2,0,16
125,0.15794701986754967,6,0,0,0,0,0,0,7,0,0,0,0,68
814,0.15695364238410597,14,0,0,8,0,0,0,0,0,0,3,0,0
808,0.15695364238410597,13,0,0,0,0,0,1,0,0,0,0,0,0
75,0.1564569536423841,9,0,0,12,0,0,2,0,0,0,0,0,10
454,0.1564569536423841,8,0,0,8,0,0,95,13,0,0,0,0,9
740,0.1564569536423841,5,0,0,23,0,0,12,11,0,0,6,12,78
609,0.15612582781456955,13,0,0,16,0,0,76,19,0,0,18,0,82
255,0.15562913907284767,7,0,0,27,0,0,14,0,0,0,3,0,99
435,0.15529801324503312,7,0,0,5,0,0,12,0,0,0,35,0,20
236,0.15529801324503312,11,0,0,29,0,0,28,122,0,1,2,101,48
635,0.15496688741721854,8,0,0,1,0,0,2,4,0,0,0,0,41
231,0.15480132450331127,14,0,0,1,0,0,4,0,0,0,3,53,139
597,0.15397350993377484,8,0,0,18,0,0,8,4,12,0,20,7,5
47,0.15364238410596026,5,0,0,27,0,0,15,1077,1,9,68,0,0
383,0.15364238410596026,4,0,0,10,0,0,8,0,0,0,24,41,31
141,0.15347682119205297,6,0,0,24,0,0,1,3,0,0,26,0,3
644,0.15347682119205297,4,0,0,6,0,0,1,0,0,0,16,5,0
756,0.1533112582781457,12,0,0,41,0,0,54,0,0,0,0,0,0
555,0.15314569536423842,8,0,0,2,0,0,5,0,0,0,0,52,38
982,0.15281456953642383,5,0,0,20,0,0,2,0,0,0,0,0,1
909,0.15132450331125827,5,0,0,0,0,0,12,32,0,0,1,0,40
1061,0.15132450331125827,7,0,0,7,0,0,1,0,0,0,0,0,1
1241,0.151158940397351,16,0,0,42,0,0,62,161,0,0,69,0,2
200,0.1509933774834437,17,0,0,2,0,0,0,0,0,0,10,0,60
521,0.15049668874172187,10,0,0,10,0,3,0,0,0,0,30,37,124
272,0.15033112582781458,13,0,0,8,0,0,12,0,0,0,0,0,2
1712,0.15033112582781458,11,0,0,4,0,0,7,4,0,0,24,0,0
371,0.15016556291390729,8,0,0,11,0,0,1,0,0,0,0,0,4
1253,0.1498344370860927,16,0,0,15,0,0,9,0,0,0,224,5,16
929,0.14933774834437086,7,0,0,1,0,0,0,0,0,0,0,0,29
864,0.148841059602649,12,0,0,1,0,0,13,24,0,0,0,0,19
216,0.14850993377483443,10,0,0,11,0,0,0,1,0,0,108,0,1
1058,0.14817880794701987,10,0,0,0,0,0,0,0,0,0,0,35,0
843,0.14701986754966886,14,0,0,8,0,0,1,0,0,0,2,1,0
1118,0.1466887417218543,9,0,0,3,0,0,29,2,0,0,143,0,115
1210,0.1466887417218543,12,0,0,8,0,0,4,0,0,0,0,0,0
431,0.14652317880794702,8,0,0,6,1,0,54,135,0,0,148,0,38
945,0.14652317880794702,12,0,0,6,0,0,6,1,0,0,24,3,33
256,0.14635761589403973,5,0,0,7,0,0,6,6,0,0,0,0,4
374,0.14635761589403973,13,0,0,8,0,0,1,0,0,0,113,0,3
702,0.14635761589403973,11,0,0,2,0,0,1,0,0,0,0,9,16
905,0.14602649006622517,11,0,0,18,0,0,15,1,0,0,19,0,18
14,0.14602649006622517,10,0,0,4,0,0,93,423,0,0,162,0,16
535,0.14602649006622517,7,0,0,29,0,0,21,1473,498,2197,58,0,0
1014,0.1447019867549669,16,0,0,9,0,0,13,2,0,0,0,0,0
732,0.1447019867549669,14,0,0,6,0,0,3,0,0,0,0,0,0
1150,0.14437086092715232,7,0,0,7,0,0,13,2,0,0,7,53,0
74,0.14387417218543047,9,0,0,3,0,0,0,0,0,0,0,0,3
112,0.14321192052980133,9,0,0,1,0,0,0,0,0,0,0,0,0
608,0.14304635761589404,7,0,0,8,0,0,0,1,0,0,102,2,124
1145,0.14271523178807946,10,0,0,4,0,0,6,5,0,0,0,0,0
319,0.14271523178807946,6,0,0,4,0,0,0,0,0,0,0,0,0
517,0.14271523178807946,8,0,0,1,0,0,36,2,0,0,265,0,0
136,0.1425496688741722,11,0,0,20,0,0,0,8,0,0,1,4,52
614,0.1425496688741722,6,0,0,5,0,0,22,14,0,0,0,0,0
52,0.14155629139072848,8,0,0,21,0,0,13,120,0,0,41,0,0
287,0.1412251655629139,8,0,0,5,0,0,11,4,0,0,0,0,1
1308,0.14105960264900663,19,0,0,11,0,0,0,0,0,0,0,0,15
372,0.14072847682119205,8,0,0,9,0,0,82,49,0,0,6,14,62
840,0.1400662251655629,18,0,0,1,0,0,2,0,0,0,6,4,4
941,0.1390728476821192,12,0,0,1,0,0,0,0,0,0,0,0,3
625,0.13890728476821193,9,0,0,4,0,0,1,0,0,0,0,0,0
1348,0.13890728476821193,10,0,0,11,0,0,0,0,0,0,35,0,8
900,0.13874172185430464,8,0,0,3,0,0,0,0,0,0,102,5,28
690,0.13874172185430464,11,0,0,1,0,0,0,0,0,0,66,5,67
1310,0.13874172185430464,6,0,0,4,0,0,18,0,0,0,1,0,72
417,0.1382450331125828,8,0,0,16,0,0,19,54,0,0,110,2,89
1195,0.13774834437086092,11,0,0,35,0,0,31,27,2,1,31,0,95
718,0.13758278145695363,9,0,0,20,0,0,69,186,11,0,1,0,34
911,0.13675496688741723,8,0,0,3,0,0,6,7,0,0,5,0,31
769,0.13658940397350994,13,0,0,8,0,0,0,1,0,0,0,0,0
146,0.13658940397350994,19,0,0,2,0,2,6,12,0,0,0,0,42
465,0.13642384105960265,9,0,0,8,0,0,0,0,0,0,2,0,0
215,0.1360927152317881,5,0,0,12,0,0,23,16,0,0,149,0,30
519,0.1359271523178808,11,0,0,1,0,0,24,6,0,0,124,0,28
400,0.1357615894039735,14,0,0,3,0,0,1,0,0,0,33,0,112
426,0.13526490066225166,8,0,0,4,0,0,49,19,0,0,18,1,64
138,0.13526490066225166,15,0,0,2,0,0,36,5,0,0,4,0,0
137,0.13427152317880794,10,0,0,5,0,0,0,0,0,0,0,10,0
